,Time,Tot_Energy,Free_Energy,OH2,OH,O,All
0,0.0,-9689.4065,-9689.4065,0,0,24,24
0,10.0,-9654.2001,-9654.2001,0,2,22,24
0,20.0,-9650.3346,-9650.3346,0,3,21,24
0,30.0,-9652.5624,-9652.5624,0,2,22,24
0,40.0,-9651.9107,-9651.9107,0,2,22,24
0,50.0,-9654.6149,-9654.6149,0,3,21,24
0,60.0,-9652.3826,-9652.3826,0,3,21,24
0,70.0,-9657.5473,-9657.5473,0,3,21,24
0,80.0,-9651.1116,-9651.1116,0,2,22,24
0,90.0,-9653.9203,-9653.9203,0,2,22,24
0,100.0,-9654.044,-9654.044,0,2,22,24
0,110.0,-9652.2345,-9652.2345,0,4,20,24
0,120.0,-9653.1486,-9653.1486,0,3,21,24
0,130.0,-9653.9583,-9653.9583,0,2,22,24
0,140.0,-9652.8143,-9652.8143,0,2,22,24
0,150.0,-9655.3078,-9655.3078,0,2,22,24
0,160.0,-9655.9957,-9655.9957,0,3,21,24
0,170.0,-9658.5815,-9658.5815,0,3,21,24
0,180.0,-9651.6023,-9651.6023,0,3,21,24
0,190.0,-9650.7451,-9650.7451,0,3,21,24
0,200.0,-9654.4571,-9654.4571,0,3,21,24
0,210.0,-9652.4776,-9652.4776,0,3,21,24
0,220.0,-9652.3683,-9652.3683,0,3,21,24
0,230.0,-9647.6839,-9647.6839,0,3,21,24
0,240.0,-9652.0952,-9652.0952,0,2,22,24
0,250.0,-9649.7887,-9649.7887,0,2,22,24
